exercice,libelle_projet,pilier_predit,score_similarite,cluster_id
2024,ARTICLE PREMIER. - La présente loi a pour objet d'évaluer les ressources et charges de,Gouvernance,0.4032239317893982,0
2024,"l'Etat, de définir les conditions de l'équilibre budgétaire et financier, et d'arrêter son budget",Transformation structurelle,0.43679994344711304,0
2024,ARTICLE DEUXIÈME. - Les ressources et charges de l'État comprennent les recettes et les,Transformation structurelle,0.4956105947494507,0
2024,"dépenses budgétaires, ainsi que les ressources et les charges de trésorerie et de financement.",Autre,0.43745312094688416,0
2024,"1. Le budget de l'État détermine la nature, le montant et l'affectation de ses recettes",Transformation structurelle,0.4523714780807495,0
2024,"et dépenses, le solde budgétaire qui en résulte, ainsci que les modalités de son",Autre,0.464873343706131,0
2024,2. Le budget de l'État est constitué du budget géné.ral et des comptes d'affectation,Autre,0.4235564172267914,0
2024,"ARTICLE TROISIÈME. - La présente partie prévoit et autorise les ressources de l'État, fixe",Gouvernance,0.474056214094162,3
2024,les plafonds des charges de l'État et arrête l'équilibre budgétaire et financier qui en résulte.,Autre,0.40392816066741943,0
2024,"ARTICLE QUATRIÈME. -Les impôts, droits, taxes, contributions, redevances, autres produits",Transformation structurelle,0.5570068359375,0
2024,et revenus publics de lwa République du Cameroun continuent d'être perçus conformément aux,Transformation structurelle,0.37478551268577576,0
2024,"textes en vigueur, sous réserve des dispositions de la présente loi.",Gouvernance,0.34667158126831055,3
2024,"renouvelables, de la santé, de l'élevage et de la pêche.",Transformation structurelle,0.5025325417518616,2
2024,"1. Les équipements et matériels destinés à la production de l'eau potable, de la biomasse, des",Transformation structurelle,0.5104290246963501,2
2024,"2. Les équipements et appareils médicaux, y compris leurs accessoires, sont exonérés des",Transformation structurelle,0.3405739367008209,2
2024,"droits et taxes de douane à l'importation, pour une période de vingt-quatre (24) mois, à compter",Transformation structurelle,0.2814280390739441,0
2024,"3. Les équipements et matériels destinés à l'élevage, à la pêche et au développement de la",Transformation structurelle,0.4478551149368286,2
2024,"pisciculture sont exonérés des droits et taxes de douane à l'importation, pour une période de",Transformation structurelle,0.42558950185775757,0
2024,"4. Les listes des biens visés aux alinéas 1, 2 et 3 ci-dessus, qui sont exclusives de ceux",Transformation structurelle,0.3331838548183441,2
2024,"fabriqués localement, sont fixées par un acte du Ministre chargé des finances après",Gouvernance,0.3896127939224243,0
2024,consultation des ministères compétents et des acteurs des filières concernées.,Gouvernance,0.4541228115558624,2
2024,5. Lorsque les équipements et matériels visés à l'alinéa 1 ci-dessus sont destinés à une,Transformation structurelle,0.3581831455230713,3
2024,"revente commerciale par l'importateur, ce dernier est tenu, conformément aux dispositions de",Transformation structurelle,0.32408249378204346,0
2024,"des Douanes, à travers laquelle il s'engage à répercuter ladite exonération sur le prix final de",Gouvernance,0.2386944442987442,3
2024,vente de l'énergie ou desdits biens au consommateur.,Transformation structurelle,0.4794315695762634,0
2024,6. La réexportation des biens visés aux alinéas 1 et 2 ci-dessus demeure subordonnée au,Transformation structurelle,0.4648270606994629,3
2024,paiement préalable des droits et taxes de douane non liquidés à l'entrée sur le territoire,Développement régional,0.42311644554138184,0
2024,ARTICLE SIXIÈME.- Soutien à l'industrie automobile,Transformation structurelle,0.4392174482345581,3
2024,"automobile bénéficient d'un abattement de 50 % sur leur valeur imposable à l'importation, pour",Transformation structurelle,0.25981247425079346,0
2024,2. Le bénéfice de l'abattement visé à l'alinéa 1 ci-dessus est exclusif aux entreprises de,Transformation structurelle,0.4890982210636139,3
2024,fabrication et montage de véhicules signataires d'une convention avec l'Administration des,Gouvernance,0.35154417157173157,3
2024,Douanes par laquelle elles s'engagent à répercuter les effets de ladite facilité aux,Transformation structurelle,0.36424094438552856,2
2024,consommateurs et à respecter les engagements découlant de son projet d'investissement.,Transformation structurelle,0.39063963294029236,2
2024,ARTICLE SEPTIÈME.- Soumission de certains biens importés au droit d'accises ad,Transformation structurelle,0.3778410851955414,3
2024,Les biens importés ci-après sont soumis aux droits d'accises ad valorem ainsi qu'il suit :,Transformation structurelle,0.35039380192756653,3
2024,Produits à base de céréales {corn flakes par exemple) et 1904.10.00.000 et,Transformation structurelle,0.25140735507011414,1
2024,préparations alimentaires obtenues à partir de flrocons de 1904.20.00.000 5%,Transformation structurelle,0.21526497602462769,1
2024,"Charcuterie industrielles à l'exclusion du foie gras qui est 1602.20.10.000 12,5%",Autre,0.268751859664917,1
2024,dé 'à soumis à un droit d'accises au taux de 25%,Gouvernance,0.363949716091156,0
2024,Cacao en fève y compris celui destiné à être utilisé comme 1801.00.00.000,Transformation structurelle,0.13975684344768524,1
2024,"Aliments our chiens ou chats 2309.10.00.000 12,5%",Capital humain,0.16504013538360596,1
2024,Cercueils en bois et autres ouvrages en bois 25%,Transformation structurelle,0.21779555082321167,1
2024,Meubles en métal des t es utilisés dans les bureaux 9403.10.00.000 25%,Capital humain,0.18995513021945953,1
2024,ARTICLE HUITIÈME.- Relèvement graduel de la taxation sur certains biens dans le cadre,Transformation structurelle,0.43475010991096497,0
2024,A l'exclusion des riz de grande consommation des sous-positions tarifaires 1006.10.10.000 à,Transformation structurelle,0.30279627442359924,0
2024,1006.40.00.000 qui demeurent soumis au droit de douane à l'importation au taux réduit de 5%,Développement régional,0.23855657875537872,1
2024,"(parboiled rice) et «parfumés», qui doivent être classés aux sous- positions tarifaires",Transformation structurelle,0.30406850576400757,0
2024,"spécifiques 1006.30.90.200 et 1006.30.90.300, supportent le taux normal du Tarif extérieur",Développement régional,0.1960960328578949,1
2024,ARTICLE NEUVIÈME.-Taxation à l'exportation des bois en grumes,Transformation structurelle,0.4064869284629822,0
2024,75 % de la valeur FOB du volume de l'essence. Ce taux demeure fixé à 60 % à l'entrée desdits,Transformation structurelle,0.1418769657611847,1
2024,ARTICLE DIXIÈME.- Délais de prescription en matière douanière,Gouvernance,0.20587097108364105,3
2024,"1. En application des dispositions des articles 398 et 399 du Code des Douanes CEMAC, le",Gouvernance,0.2741748094558716,3
2024,délai de prescription pour les déclarations de mise à la consommation ainsi que celles en détail,Développement régional,0.1893753856420517,3
2024,d'apurement des soumissions d'enlèvement direct et des régimes suspensifs et économiques,Gouvernance,0.46156200766563416,3
2024,2. Le délai visé à l'alinéa 1 ci-dessus devient trentenaire pour les soumissions d'enlèvement,Gouvernance,0.20662948489189148,3
2024,direct et les déclarations de placement des marchandises dans les régimes suspensifs et,Transformation structurelle,0.49719440937042236,3
2024,3. Le délai de prescriwption de trente ans visés à l'alinéa 2 ci-dessus s'applique de façon,Gouvernance,0.21940460801124573,3
2024,générale à toutes les opérations douanières relatives au commerce extérieur lorsque,Transformation structurelle,0.39824971556663513,3
2024,l'Administration des Douanes n'a pas été mise en situation de connaître l'existence de sa,Autre,0.3758710026741028,3
2024,créance de droits et taxes de douane au moment où lesdits droits et taxes auraient dus être,Gouvernance,0.3920089602470398,0
2024,"1. En application des dispositions des articles 117, 122 et 124 du Code des Douanes CEMAC,",Gouvernance,0.3114984929561615,3
2024,"et conducteurs de navires, d'aéronefs et de tout autre moyen de transport sont tenus",Transformation structurelle,0.40386825799942017,3
2024,"désignations commerciales et l'espèce tarifaire des marchandises qu'ils transportent, ainsi que",Transformation structurelle,0.38644570112228394,3
2024,l'année de première mise en circulation lorsqu'il s'agit des véhicules.,Transformation structurelle,0.1996130645275116,3
2024,2. La violation de l'obligation visée à l'alinéa 1 ci-dessus est assimilée à une omission,Gouvernance,0.2633289694786072,3
2024,"d'inscription aux répertoires, réputée contravention de deuxième classe, et sanctionnée des",Gouvernance,0.3187614381313324,2
2024,ARTICLE DOUZIÈME.- Taux de conversion applicable .lo� de l'apurement des,Transformation structurelle,0.23636522889137268,2
