exercice,pilier_predit,nb_projets,budget_total_fcfa,cout_moyen_fcfa
2024,Autre,398,2894516410184.0,7272654297.0
2024,Capital humain,563,4044121549630.0,7183164387.0
2024,Développement régional,546,6482206124383.0,11872172389.0
2024,Gouvernance,867,8734460638279.0,10074349064.0
2024,Transformation structurelle,1250,5949002781372.0,4759202225.0
2025,Autre,233,2371192744586.0,10176792895.0
2025,Capital humain,268,2776711412848.0,10360863481.0
2025,Développement régional,328,6054505750121.0,18458858994.0
2025,Gouvernance,556,5538948858920.0,9962138235.0
2025,Transformation structurelle,498,3384128816789.0,6795439391.0
