exercice,article_2025,meilleur_match_2024,score_similarite,diagnostic
2025,ARTICLE PREMIER. -La présente loi a pour objet d'évaluer les ressources et charges,ARTICLE PREMIER. - La présente loi a pour objet d'évaluer les ressources et charges de,0.996,CONTINUITÉ
2025,"de l'Etat, de définir les conditions de l'équilibre budgétaire et financier et d'arrêter son","l'Etat, de définir les conditions de l'équilibre budgétaire et financier, et d'arrêter son budget",0.9677,CONTINUITÉ
2025,ARTICLE DEUXIÈME. -Les ressources et charges de l'État comprennent les recettes,ARTICLE DEUXIÈME. - Les ressources et charges de l'État comprennent les recettes et les,0.9948,CONTINUITÉ
2025,"et les dépenses budgétaires, ainsi que les ressources et les charges de trésorerie et","dépenses budgétaires, ainsi que les ressources et les charges de trésorerie et de financement.",0.9416,CONTINUITÉ
2025,"(1) Le budget de l'État détermine la nature, le montant et l'affectation de ses recettes","1. Le budget de l'État détermine la nature, le montant et l'affectation de ses recettes",0.9949,CONTINUITÉ
2025,"et dépenses, le solde budgétaire qui en résulte, ainsi que les modalités de son","et dépenses, le solde budgétaire qui en résulte, ainsci que les modalités de son",0.9525,CONTINUITÉ
2025,"(2) Le budget de l'État est constitué du budget général et des Comptes d'Affectat,u,,",2. Le budget de l'État est constitué du budget géné.ral et des comptes d'affectation,0.9393,CONTINUITÉ
2025,"ARTICLE TROISIÈME. -La présente partie prévoit et autorise les ressources de l'État,","ARTICLE TROISIÈME. - La présente partie prévoit et autorise les ressources de l'État, fixe",0.985,CONTINUITÉ
2025,fixe les plafonds· des charges de l'État et arrête l'équilibre budgétaire et financier qui,les plafonds des charges de l'État et arrête l'équilibre budgétaire et financier qui en résulte.,0.8958,CONTINUITÉ
2025,"ARTICLE QUATRIÈME. - Les impôts, droits, taxes, contributions, redevances, autres","ARTICLE QUATRIÈME. -Les impôts, droits, taxes, contributions, redevances, autres produits",0.9796,CONTINUITÉ
2025,produits et rwevenus publics de la République du Cameroun continuent d'être perçus,et revenus publics de lwa République du Cameroun continuent d'être perçus conformément aux,0.7787,CONTINUITÉ
2025,"conformément aux textes en vigueur, sous réserve des dispositions de la présente loi.","textes en vigueur, sous réserve des dispositions de la présente loi.",0.9668,CONTINUITÉ
2025,ARTICLE CINQUIÈME.- Soutien au secteur de l'élevage,"agricoles, les statistiques sur l’élevage, les",0.769,CONTINUITÉ
2025,"(1) Les « compléments alimentaires pour animaux » notamment les vitamines, les",a) Frais d'homologation des compléments alimentaires :,0.7777,CONTINUITÉ
2025,"acides aminés essentiels et les sels minéraux non produits localement, destinés aux",a) Frais d'homologation des compléments alimentaires :,0.631,RUPTURE
2025,préparations alimentaires de provenderie pour le renforcement de la croissance des,- produits importés à base de céréales (corn flakes) et préparations alimentaires,0.6012,RUPTURE
2025,animaux bénéficient d'un abattement de 50% sur la valeur imposable à l'importation.,"automobile bénéficient d'un abattement de 50 % sur leur valeur imposable à l'importation, pour",0.7682,CONTINUITÉ
2025,(2) La liste des « compléments alimentaires pour animaux » susvisée est fixée par un,a) Frais d'homologation des compléments alimentaires :,0.7798,CONTINUITÉ
2025,texte particulier du ministre en charge des finances après consultation du ministère en,précisées par un texte particulier du Ministre en charge des finances.,0.8997,CONTINUITÉ
2025,charge de l'élevage et des corporations des éleveurs le cas échéant.,"agricoles, les statistiques sur l’élevage, les",0.6888,RUPTURE
2025,Y I I S m E LA E T ' I 1 F R C S E c T O -. R R,"� b t U u F , t .,. C c H T IF 1T R T 1 1 I A T E n R D G I v I A S u L T "" rn T G I� A E !: E N r. T E 1 R 11 R IN L O E F M X E S N E î R A V I I R C E E",0.7941,CONTINUITÉ
2025,E o m F o O n ME R S N E M T R A V I I E R C E E,"� b t U u F , t .,. C c H T IF 1T R T 1 1 I A T E n R D G I v I A S u L T "" rn T G I� A E !: E N r. T E 1 R 11 R IN L O E F M X E S N E î R A V I I R C E E",0.8253,CONTINUITÉ
2025,ARTICLE SIXIÈME.- Soutien à la promotion de l'énergie verte,Gaz à Effet de Serre liées à l'activité énergétique 2018 2006 – 2015 MINEE,0.589,RUPTURE
2025,"Les véhicules et motocycles à moteurs électriques, des sous positions tarifaires",- frais annuels de demande d'agrément pour l'importation des motocycles,0.6543,RUPTURE
2025,"8704.60 00 100, 8709.11 00 000 et 8711.60 00 000, importés à l'état neuf, leurs","32 076 subis par l'Etat, Suivre 1 829000 1 829000",0.6715,RUPTURE
2025,"imposable, pour une période de vingt-quatre (24) mois.",échéancier qui ne saurait dépasser trois moisc ;,0.6763,RUPTURE
2025,ARTICLE SEPTIÈME.- Dédouanement des logiciels importés,Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.6107,RUPTURE
2025,"téléchargement, des sous-positions 8523.80 00 100 et 8523.80.00.200, se classent à",24 du maitre de port 100.000 à 3.0 c 00.000 fCFA,0.6303,RUPTURE
2025,la deuxième catégorie du Tarif extérieur commun (TEC) au taux de 10 % lorsqu'ils sont,"(2) Toutefois, ce taux est de 10 % pour les revenus et bénéfices non commerciaux visés à",0.7127,CONTINUITÉ
2025,déclarés spontanément. Ils demeurent soumis à la troisième catégorie du TEC au taux,proportion relativement importante encore à parfaire.,0.5773,RUPTURE
2025,de 20% lorsque leur importation au Cameroun est constatée postérieurement à,physique ayant au Cameroun son domicile fiscal en raison de l'ensemble de ses revenus,0.6945,RUPTURE
2025,ARTICLE HUITIÈME.- Exclusion des biens importés ayant des similaires produits,ARTICLE SEPTIÈME.- Soumission de certains biens importés au droit d'accises ad,0.812,CONTINUITÉ
2025,"localement, des facilités douanières à l'importation",générale à toutes les opérations douanières relatives au commerce extérieur lorsque,0.7696,CONTINUITÉ
2025,Les biens importés ayant des similaires produits localement ne sont pas éligibles au,"fournisseurs étrangers, ces conditions ne sont pas exigées ;",0.7309,CONTINUITÉ
2025,"bénéfice des facilités douanières, à l'exception des importations résultant de la mise",Programme de Vérification des Importations (PVI) affectée à !'Agence Nationale des Normes,0.7632,CONTINUITÉ
2025,en œuvre d'accords commerciaux préférentiels en vigueur au Cameroun ou à,8) La liste des États ayant conclu avec le Cameroun un accord autorisant l'échange,0.8432,CONTINUITÉ
2025,l'occasion des situations de carence de la production nationale régulièrement attestée,"• à la valeur de la production dissimulée du fait du manquement, s'agissant du",0.755,CONTINUITÉ
2025,ARTICLE NEUVIÈME.- Evaluation des engins et machines de construction importés,"d'application relatifs à l'équipement des trains, aux modalités de leur utilisation et à",0.6537,RUPTURE
2025,"(1) Les engins et matériels de génie civil destinés aux travaux publics import9s, à l'état","- importateurs, réparateurs, fabricants, des instruments de mesure : FCFA 1",0.6403,RUPTURE
2025,"neuf, sont dédouanés sur la base de la valeur transactionnelle.",notaire pour le compte du vendeur. Ce taux est porté à 10% lorsque la transaction est réalisée,0.6748,RUPTURE
2025,"(2) Les enginws et matériels visés à l'alinéa 1 ci-dessus importés, d'occasion de moins",6. La réexportation des biens visés aux alinéas 1 et 2 ci-dessus demeure subordonnée au,0.7976,CONTINUITÉ
2025,"de 20 ans d'âge, sont dédouanés sur la base de leur côte sur les différents marchés",83 145 INSERTION SOCIO- économique des jeunes formés dans les,0.5258,RUPTURE
2025,"indiqués par l'Administration des Douanes, moyennant un ajustement en fonction du","par décision du ministre chargé des finances et versés à la Banque centrale, après déduction",0.8494,CONTINUITÉ
2025,nombre d'heures d'utilisation figurant au compteur.,jours à compter de la date de la réception de la demande. L'absence de réponse de,0.6134,RUPTURE
2025,"(3) Lesdits engins et matériels importés, d'occasion de plus de vingt (20) ans d'âge,","36 enregistrements, les matériels ou tout autre document permettant d'accomplir leur",0.6354,RUPTURE
2025,"Douanes, en fonction de l'âge et du nombre d'heures d'utilisation figurant au compteur.",délai de prescription pour les déclarations de mise à la consommation ainsi que celles en détail,0.5849,RUPTURE
2025,ARTICLE DIXIÈME.- Taxation à l'exportation de certains biens,ARTICLE HUITIÈME.- Relèvement graduel de la taxation sur certains biens dans le cadre,0.8395,CONTINUITÉ
